"edcode","data_cut_off_date","original_underlying_exposure_identifier","format","spv_country","deal_vintage","unique_identifier","original_obligor_identifier","redemption_date","geographic_region_obligor","customer_type","nace_industry_code","obligor_basel_iii_segment","enterprise_size","revenue","total_debt","ebitda","free_cashflow","date_of_financials","debt_type","seniority","syndicated","origination_date","maturity_date","purpose","original_principal_balance","current_principal_balance","total_credit_limit","amortisation_type","principal_grace_period_end_date","scheduled_principal_payment_frequency","scheduled_interest_payment_frequency","payment_due","payment_due_interest","balloon_amount","interest_rate_type","current_interest_rate","current_interest_rate_index","current_interest_rate_margin","interest_rate_reset_interval","interest_rate_cap","interest_rate_floor","revision_margin_1","interest_revision_date_1","revision_margin_2","interest_revision_date_2","revision_margin_3","interest_revision_date_3","revised_interest_rate_index","arrears_balance","number_of_days_in_arrears","number_of_days_in_arrears_interest","reason_for_default_or_foreclosure","default_amount","default_date","allocated_losses","cumulative_recoveries","recovery_source","deposit_amount","percentage_of_prepayments_allowed_per_year","date_last_in_arrears","date_of_repurchase","date_of_restructuring","pool_addition_date","prepayment_date","prepayment_fee_end_date","prepayment_lockout_end_date","cumulative_prepayments","enterprise_value","market_value","prepayment_fee","prior_principal_balance","number_of_payments_before_securitisation","purchase_price","account_status","credit_impaired_obligor","current_interest_rate_tenor","geographic_region_classification","international_securities_identification_number","leveraged_transaction","managed_by_clo","new_obligor_identifier","new_underlying_exposure_identifier","original_lender_establishment_country","original_lender_legal_entity_identifier","origination_channel","originator_establishment_country","originator_legal_entity","payment_in_kind","recourse","revised_interest_rate_tenor","securitised_receivables","special_scheme","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","047-610-0110388","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","291345","","ITH43","ENEO","G47.7.7","SMEX","MICE","65000","45000","2000","11000","12/31/2017","LOLE","","","4/9/2019","6/30/2026","OVRD","36000","21050.23","","FRXX","6/30/2021","MNTH","MNTH","627.03","","","FLIF","5.9499998092651","EURI","3.25","1","","","","","","","","","","627.03","0","","","0","","0","0","","0","100","3/31/2023","","","10/9/2019","","","4/10/2019","0","123000","","","","6","100","PERF","1","QUTR","2016","","","","291345","047-610-0110388","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","048-620-0111144","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","148356","","ITH42","ENEO","L68.2.0","SMEX","MEDE","103000","2498000","41000","1214000","12/31/2020","LOLE","","","5/8/2019","3/31/2031","OVRD","800000","656779.2","","FRXX","12/31/2021","MNTH","MNTH","9506.03","","","FLIF","5.6999998092651","EURI","3","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","5/9/2019","0","13740000","","","","5","100","PERF","1","QUTR","2016","","","","148356","048-620-0111144","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","065-620-0065110","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","413946","","ITH42","ENEO","F41.2.0","RETL","MICE","348000","103000","48000","36000","12/31/2016","LOLE","","","6/27/2007","9/30/2023","OTHR","180000","8723.35","","FRXX","6/30/2021","MNTH","MNTH","1483.73","","","FLIF","4.4000000953674","EURI","1.2000000476837","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","6/28/2007","0","227000","","","","148","100","PERF","1","SEMI","2016","","","","413946","065-620-0065110","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","068-610-0112047","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","435126","","ITH34","ENEO","I56.1.0","RETL","NATP","211000","7000","23000","0","12/31/2015","LOLE","","","5/30/2019","5/31/2024","OTHR","30000","7711.5","","FRXX","5/31/2019","MNTH","MNTH","592.5","","","FLIF","8.1999998092651","EURI","5.5","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","5/31/2019","0","45000","","","","5","100","PERF","1","QUTR","2016","","","","435126","068-610-0112047","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","070-620-0090239","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","148572","","ITH41","ENEO","C25.2.9","RETL","MEDE","7495000","3715000","736000","0","12/31/2022","LOLE","","","5/27/2016","8/31/2027","EQPI","600000","290965.43","","FRXX","6/30/2021","MNTH","MNTH","6645.44","","","FLFL","5.6999998092651","EURI","2.5","1","","2.5","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","5/28/2016","0","17577000","","","","41","100","PERF","1","SEMI","2016","","","","148572","070-620-0090239","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","103-620-0100552","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","27242","","ITH34","ENEO","H49.4.1","SMEX","SMAE","1182000","1364000","78000","41000","12/31/2022","LOLE","","","11/8/2017","1/31/2030","OTHR","1300000","770696.82","","FRXX","1/31/2018","MNTH","MNTH","11879.13","","","FLIF","4.5999999046326","EURI","1.8999999761581","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","11/9/2017","0","3377000","","","","23","100","PERF","1","QUTR","2016","","","","27242","103-620-0100552","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","025-610-0103498","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","462106","","ITH42","ENEO","G47.9.1","RETL","MICE","1070000","147000","83000","-49000","12/31/2021","LOLE","","","5/24/2018","9/30/2026","OTHR","50000","26505.39","","FRXX","6/30/2021","MNTH","MNTH","767.86","","","FLIF","6.4499998092651","EURI","3.75","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","5/25/2018","0","436000","","","","17","100","PERF","1","QUTR","2016","","","","462106","025-610-0103498","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","029-640-0090205","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","410710","","ITH42","ENEO","A1.5.0","RETL","","","","","","","LOLE","","","9/27/2017","1/31/2024","OTHR","30000","6045.23","","FRXX","6/30/2021","MNTH","MNTH","614.3","","","FLFL","7.9499998092651","EURI","4.75","1","","4.75","","","","","","","","614.3","0","","","0","","0","0","","0","100","3/31/2023","","","10/9/2019","","","9/28/2017","0","","","","","25","100","PERF","1","SEMI","2016","","","","410710","029-640-0090205","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","044-620-0102130","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","380011","","ITH42","ENEO","I56.1.0","RETL","","","","","","","LOLE","","","2/20/2018","2/28/2033","EQPI","60000","42674.53","","FRXX","2/28/2018","MNTH","MNTH","525.97","","","FLIF","6.0749998092651","EURI","3.375","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","2/21/2018","0","","","","","20","100","PERF","1","QUTR","2016","","","","380011","044-620-0102130","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","050-620-0112145","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","381646","","ITH41","ENEO","G47.7.1","RETL","SMAE","3660000","3890000","94000","121000","12/31/2021","LOLE","","","6/10/2019","12/31/2031","OTHR","420000","375584.17","","FRXX","12/31/2021","MNTH","MNTH","5305.4","","","FLIF","6.6999998092651","EURI","4","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","6/11/2019","0","5307000","","","","4","100","RNAR","1","QUTR","2016","","","","381646","050-620-0112145","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
